                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.1787,                0.72963,                 1.3295,                0.38877,                0.34295,                0.32579,                0.22035,                  1.612,                 4.3364,                 1.5637,             0.00069335,             0.00069335,             0.00069335
                    106,                 1.1776,                0.72007,                 1.3631,                0.37603,                0.34615,                0.32682,                0.21238,                 1.5285,                  4.322,                 1.4794,             0.00068628,             0.00068628,             0.00068628
                    107,                 1.1592,                0.69162,                  1.356,                0.36511,                0.32257,                0.34525,                0.22163,                 1.5221,                 4.1862,                 1.4705,              0.0006792,              0.0006792,              0.0006792
                    108,                 1.1449,                0.71309,                 1.3519,                0.37612,                0.28448,                  0.326,                0.20931,                 1.5527,                 4.1691,                 1.4667,             0.00067213,             0.00067213,             0.00067213
                    109,                 1.1877,                0.72396,                 1.3425,                0.33027,                0.31838,                0.31679,                0.19701,                 1.4899,                 4.1366,                  1.449,             0.00066506,             0.00066506,             0.00066506
                    110,                 1.1604,                 0.7038,                 1.3635,                0.33764,                0.32158,                0.32488,                0.20694,                 1.5696,                 4.1992,                 1.5022,             0.00065798,             0.00065798,             0.00065798
                    111,                 1.1575,                 0.7165,                  1.399,                0.33358,                0.32158,                0.31659,                0.19239,                 1.5332,                 4.1243,                 1.4752,             0.00065091,             0.00065091,             0.00065091
                    112,                 1.1622,                0.71381,                 1.3545,                0.36484,                 0.2906,                0.31544,                0.18608,                  1.491,                 4.2803,                 1.4605,             0.00064384,             0.00064384,             0.00064384
                    113,                 1.1574,                0.68874,                 1.3517,                0.30337,                0.34615,                0.32991,                0.20299,                 1.4887,                 4.1252,                 1.4463,             0.00063676,             0.00063676,             0.00063676
                    114,                 1.1442,                0.68428,                  1.346,                0.41094,                0.27671,                0.34473,                0.23715,                 1.4751,                 4.0194,                 1.4579,             0.00062969,             0.00062969,             0.00062969
                    115,                 1.1301,                0.67709,                 1.3246,                0.36431,                0.31133,                0.33026,                0.23044,                 1.4813,                 4.3969,                 1.4812,             0.00062262,             0.00062262,             0.00062262
                    116,                 1.1509,                0.70299,                 1.3326,                 0.3668,                 0.3162,                0.32272,                0.20555,                 1.4805,                 4.4078,                 1.4708,             0.00061554,             0.00061554,             0.00061554
                    117,                 1.1629,                0.69844,                 1.3202,                0.33518,                0.33449,                0.32301,                0.19335,                 1.4602,                 4.2636,                 1.4344,             0.00060847,             0.00060847,             0.00060847
                    118,                 1.1195,                0.68858,                 1.3506,                0.37691,                0.31152,                0.33474,                0.22078,                 1.4902,                 4.2658,                 1.4503,             0.00060139,             0.00060139,             0.00060139
                    119,                 1.1396,                 0.7002,                 1.3509,                0.36615,                0.37393,                0.34297,                0.22838,                 1.5276,                 4.5052,                 1.4636,             0.00059432,             0.00059432,             0.00059432
                    120,                 1.1684,                0.67254,                 1.3151,                0.39183,                0.32799,                0.34365,                0.23905,                 1.4263,                  4.427,                 1.4145,             0.00058725,             0.00058725,             0.00058725
                    121,                 1.1036,                0.67915,                 1.3155,                 0.3683,                0.36645,                0.35113,                 0.2478,                 1.4735,                  4.313,                 1.4502,             0.00058017,             0.00058017,             0.00058017
                    122,                 1.1757,                0.69724,                 1.3533,                0.34807,                0.36966,                0.34537,                0.22938,                  1.452,                 4.2027,                 1.4439,              0.0005731,              0.0005731,              0.0005731
                    123,                 1.0903,                0.65975,                 1.3199,                0.37785,                0.37714,                0.34858,                0.23456,                 1.4822,                 4.3352,                  1.484,             0.00056603,             0.00056603,             0.00056603
